20240613 055300,5501.5,5502,5501.5,5502,50
20240613 055400,5501.75,5501.75,5501.75,5501.75,51
20240613 055500,5501.75,5501.75,5501.75,5501.75,48
20240613 055600,5501.5,5501.5,5501.25,5501.25,92
20240613 055700,5501.25,5501.25,5501,5501,26
20240613 055800,5501,5502,5500.5,5501.75,161
20240613 055900,5501.5,5501.5,5501.25,5501.25,91
20240613 060000,5501,5501.75,5501,5501.75,58
20240613 060100,5501.5,5501.75,5501.25,5501.75,78
20240613 060200,5501.5,5501.75,5501.25,5501.25,119
20240613 060300,5501.25,5501.25,5500,5500.5,272
20240613 060400,5500.5,5501.25,5500.5,5501.25,33
20240613 060500,5501.25,5501.5,5500.75,5500.75,42
20240613 060600,5500.75,5501,5500.75,5501,32
20240613 060700,5501.25,5501.25,5500.75,5501,101
20240613 060800,5501,5501.25,5501,5501.25,48
20240613 060900,5501,5501.25,5501,5501.25,59
20240613 061000,5501.25,5501.75,5501.25,5501.75,19
20240613 061100,5502,5502.25,5501.75,5501.75,43
20240613 061200,5502,5502,5501.75,5501.75,16
20240613 061300,5501.5,5502,5501.5,5502,18
20240613 061400,5502,5502,5502,5502,13
20240613 061500,5502,5502.25,5502,5502,50
20240613 061600,5502,5502.25,5502,5502,54
20240613 061700,5502.25,5502.25,5501.75,5501.75,35
20240613 061800,5501.75,5502,5501.5,5501.5,59
20240613 061900,5501.5,5501.5,5501.5,5501.5,42
20240613 062000,5501.75,5501.75,5501.5,5501.5,4
20240613 062100,5501.75,5503,5501.75,5502.25,129
20240613 062200,5502.5,5502.75,5502.5,5502.5,37
20240613 062300,5502.5,5503.25,5502.5,5503.25,61
20240613 062400,5503.25,5503.25,5503.25,5503.25,25
20240613 062500,5503,5503.25,5502.75,5502.75,28
20240613 062600,5502.75,5502.75,5502,5502,55
20240613 062700,5501.75,5502,5501.75,5501.75,18
20240613 062800,5502,5502.5,5502,5502.25,31
20240613 062900,5502.25,5502.5,5502.25,5502.25,67
20240613 063000,5502.25,5502.5,5502,5502.5,24
20240613 063100,5502.75,5503,5502.5,5502.5,31
